2019-03-22 11:49:21|application.go:134|DEBUG|config add map[StressTest.HelloPbServer.HelloTestObj:0xc000178070]
2019-03-22 11:49:21|servanthandle.go:26|DEBUG|servant obj name not found TestApp.HelloServer.HelloTestObj
2019-03-22 11:49:21|servanthandle.go:29|DEBUG|add:&{tcp 127.0.0.1:8972 0 500ms 0s 0s 0s 10m0s 10000000 134217728 134217728 false}
2019-03-22 11:49:21|application.go:183|DEBUG|Obj not foundTestApp.HelloServer.HelloTestObj
2019-03-22 11:49:21|endpointmanager.go:45|DEBUG|proxy mode:tars.tarsnotify.NotifyObj
2019-03-22 11:49:21|endpointmanager.go:136|DEBUG|create adapter:{127.0.0.1 8972 60000 1 tcp   }
2019-03-22 11:49:21|endpointmanager.go:136|DEBUG|create adapter:{127.0.0.1 8972 3000 1 tcp   }
2019-03-22 11:49:21|adapter.go:83|DEBUG|send req:1
2019-03-22 11:49:21|adapter.go:83|DEBUG|send req:1
2019-03-22 11:49:21|tarsclient.go:169|DEBUG|Connect:127.0.0.1:8972
2019-03-22 11:49:21|tarsclient.go:169|DEBUG|Connect:127.0.0.1:8972
2019-03-22 11:49:21|adapter.go:83|DEBUG|send req:2
2019-03-22 11:49:21|servant.go:74|ERROR|Invoke Obj:StressTest.HelloPbServer.HelloTestObj,fun:reportVersion,error:dial tcp 127.0.0.1:8972: connect: connection refused
2019-03-22 11:49:21|tarsclient.go:169|DEBUG|Connect:127.0.0.1:8972
2019-03-22 11:49:21|nodef.go:44|ERROR|report Version fail:
2019-03-22 11:49:21|servant.go:74|ERROR|Invoke Obj:tars.tarsregistry.QueryObj,fun:findObjectByIdInSameGroup,error:dial tcp 127.0.0.1:8972: connect: connection refused
2019-03-22 11:49:21|endpointmanager.go:201|ERROR|find obj end fail:dial tcp 127.0.0.1:8972: connect: connection refused
2019-03-22 11:49:21|notifyf.go:38|DEBUG|{0 TestApp   HelloServer restart  0}
2019-03-22 11:49:21|servant.go:74|ERROR|Invoke Obj:tars.tarsnotify.NotifyObj,fun:reportNotifyInfo,error:no adapter Proxy selected:tars.tarsnotify.NotifyObj
2019-03-22 11:49:21|servant.go:74|ERROR|Invoke Obj:StressTest.HelloPbServer.HelloTestObj,fun:keepAlive,error:dial tcp 127.0.0.1:8972: connect: connection refused
2019-03-22 11:49:21|nodef.go:36|ERROR|keepalive fail:
2019-03-22 11:49:31|statf.go:48|DEBUG|report statList.size:4
2019-03-22 11:49:31|adapter.go:83|DEBUG|send req:3
2019-03-22 11:49:31|tarsclient.go:169|DEBUG|Connect:127.0.0.1:8972
2019-03-22 11:49:31|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:49:31|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:49:31|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:49:31|statf.go:87|DEBUG|report ret:0
2019-03-22 11:49:31|statf.go:48|DEBUG|report statList.size:0
2019-03-22 11:49:31|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:49:31|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:49:31|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:49:31|statf.go:87|DEBUG|report ret:0
2019-03-22 11:49:31|statf.go:101|DEBUG|stat report
2019-03-22 11:49:31|servant.go:74|ERROR|Invoke Obj:StressTest.HelloPbServer.HelloTestObj,fun:keepAlive,error:dial tcp 127.0.0.1:8972: connect: connection refused
2019-03-22 11:49:31|nodef.go:36|ERROR|keepalive fail:AdminAdapter
2019-03-22 11:49:41|statf.go:48|DEBUG|report statList.size:1
2019-03-22 11:49:41|adapter.go:83|DEBUG|send req:4
2019-03-22 11:49:41|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:49:41|tarsclient.go:169|DEBUG|Connect:127.0.0.1:8972
2019-03-22 11:49:41|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:49:41|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:49:41|statf.go:87|DEBUG|report ret:0
2019-03-22 11:49:41|statf.go:48|DEBUG|report statList.size:0
2019-03-22 11:49:41|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:49:41|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:49:41|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:49:41|statf.go:87|DEBUG|report ret:0
2019-03-22 11:49:41|statf.go:101|DEBUG|stat report
2019-03-22 11:49:41|servant.go:74|ERROR|Invoke Obj:StressTest.HelloPbServer.HelloTestObj,fun:keepAlive,error:dial tcp 127.0.0.1:8972: connect: connection refused
2019-03-22 11:49:41|nodef.go:36|ERROR|keepalive fail:AdminAdapter
2019-03-22 11:49:51|statf.go:48|DEBUG|report statList.size:1
2019-03-22 11:49:51|adapter.go:83|DEBUG|send req:5
2019-03-22 11:49:51|tarsclient.go:169|DEBUG|Connect:127.0.0.1:8972
2019-03-22 11:49:51|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:49:51|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:49:51|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:49:51|statf.go:87|DEBUG|report ret:0
2019-03-22 11:49:51|statf.go:48|DEBUG|report statList.size:0
2019-03-22 11:49:51|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:49:51|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:49:51|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:49:51|statf.go:87|DEBUG|report ret:0
2019-03-22 11:49:51|statf.go:101|DEBUG|stat report
2019-03-22 11:49:51|servant.go:74|ERROR|Invoke Obj:StressTest.HelloPbServer.HelloTestObj,fun:keepAlive,error:dial tcp 127.0.0.1:8972: connect: connection refused
2019-03-22 11:49:51|nodef.go:36|ERROR|keepalive fail:AdminAdapter
2019-03-22 11:50:01|statf.go:48|DEBUG|report statList.size:1
2019-03-22 11:50:01|adapter.go:83|DEBUG|send req:6
2019-03-22 11:50:01|tarsclient.go:169|DEBUG|Connect:127.0.0.1:8972
2019-03-22 11:50:01|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
2019-03-22 11:50:01|statf.go:166|DEBUG|report err:servant name () format error
2019-03-22 11:50:01|statf.go:85|DEBUG|report err:no adapter Proxy selected:
2019-03-22 11:50:01|statf.go:87|DEBUG|report ret:0
2019-03-22 11:50:01|statf.go:48|DEBUG|report statList.size:0
2019-03-22 11:50:01|servant.go:74|ERROR|Invoke Obj:,fun:reportMicMsg,error:no adapter Proxy selected:
